0,1,2,3,4,5,6,7,8,9,10
bottled water,tropical fruit,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
dog food,coffee,seasonal products,,,,,,,,
bottled water,shopping bags,waffles,,,,,,,,
root vegetables,semi-finished bread,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
pip fruit,chocolate marshmallow,,,,,,,,,
soft cheese,butter milk,shopping bags,,,,,,,,
pip fruit,other vegetables,,,,,,,,,
instant coffee,newspapers,,,,,,,,,
frozen vegetables,sausage,whole milk,frozen vegetables,rolls/buns,other vegetables,oil,frozen fish,baking powder,,
citrus fruit,whole milk,,,,,,,,,
root vegetables,rolls/buns,UHT-milk,packaged fruit/vegetables,,,,,,,
cake bar,white bread,newspapers,,,,,,,,
sugar,bottled beer,packaged fruit/vegetables,bottled water,,,,,,,
napkins,waffles,,,,,,,,,
cat food,rolls/buns,,,,,,,,,
pork,liquor,,,,,,,,,
sausage,margarine,,,,,,,,,
sparkling wine,soda,,,,,,,,,
soda,beef,beef,rolls/buns,shopping bags,chocolate,processed cheese,brown bread,dessert,,
hygiene articles,skin care,,,,,,,,,
sausage,soda,,,,,,,,,
canned beer,roll products ,root vegetables,flower (seeds),,,,,,,
whole milk,sausage,yogurt,other vegetables,misc. beverages,,,,,,
other vegetables,white bread,,,,,,,,,
other vegetables,red/blush wine,,,,,,,,,
cat food,pip fruit,white bread,,,,,,,,
chicken,whipped/sour cream,,,,,,,,,
tropical fruit,pork,newspapers,,,,,,,,
dessert,UHT-milk,margarine,,,,,,,,
other vegetables,bottled water,,,,,,,,,
sausage,frozen meals,,,,,,,,,
specialty chocolate,pastry,,,,,,,,,
soda,salt,,,,,,,,,
tropical fruit,coffee,dessert,fruit/vegetable juice,,,,,,,
margarine,mayonnaise,,,,,,,,,
rolls/buns,margarine,whipped/sour cream,,,,,,,,
domestic eggs,dessert,,,,,,,,,
dessert,canned beer,specialty chocolate,,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
curd,rolls/buns,,,,,,,,,
pip fruit,bottled water,,,,,,,,,
yogurt,frozen meals,,,,,,,,,
ham,canned beer,,,,,,,,,
frozen vegetables,root vegetables,,,,,,,,,
zwieback,frozen dessert,shopping bags,cream cheese ,,,,,,,
pork,sugar,,,,,,,,,
sausage,fruit/vegetable juice,,,,,,,,,
chocolate,rolls/buns,,,,,,,,,
ham,other vegetables,,,,,,,,,
other vegetables,beverages,ice cream,shopping bags,,,,,,,
frozen vegetables,rolls/buns,,,,,,,,,
hamburger meat,whipped/sour cream,,,,,,,,,
pork,other vegetables,,,,,,,,,
salt,brown bread,,,,,,,,,
ice cream,shopping bags,soda,,,,,,,,
newspapers,chocolate,,,,,,,,,
beverages,sausage,,,,,,,,,
other vegetables,coffee,brown bread,,,,,,,,
white wine,brown bread,,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
citrus fruit,sliced cheese,napkins,,,,,,,,
other vegetables,butter,,,,,,,,,
whole milk,hard cheese,,,,,,,,,
soda,brown bread,,,,,,,,,
white bread,pastry,whole milk,newspapers,,,,,,,
butter,whole milk,,,,,,,,,
ham,citrus fruit,sugar,ice cream,whole milk,chocolate marshmallow,specialty bar,candy,,,
frozen vegetables,onions,,,,,,,,,
whole milk,soda,,,,,,,,,
coffee,soda,,,,,,,,,
meat,oil,candles,female sanitary products,,,,,,,
curd,cream cheese ,,,,,,,,,
frozen vegetables,soft cheese,,,,,,,,,
frozen dessert,canned beer,,,,,,,,,
frozen fish,sausage,chocolate,rolls/buns,,,,,,,
white wine,whole milk,,,,,,,,,
whole milk,whole milk,,,,,,,,,
citrus fruit,shopping bags,tropical fruit,frankfurter,brown bread,rubbing alcohol,domestic eggs,whole milk,,,
frozen meals,canned beer,,,,,,,,,
whole milk,butter milk,yogurt,,,,,,,,
tropical fruit,pickled vegetables,,,,,,,,,
soda,frozen vegetables,brown bread,yogurt,,,,,,,
citrus fruit,pot plants,pot plants,,,,,,,,
cooking chocolate,chewing gum,,,,,,,,,
rolls/buns,frozen vegetables,,,,,,,,,
root vegetables,pastry,,,,,,,,,
other vegetables,beverages,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
rolls/buns,yogurt,hard cheese,,,,,,,,
napkins,beef,brown bread,,,,,,,,
other vegetables,yogurt,specialty bar,,,,,,,,
whole milk,shopping bags,,,,,,,,,
brown bread,sugar,beef,citrus fruit,yogurt,,,,,,
UHT-milk,frozen meals,,,,,,,,,
UHT-milk,pip fruit,specialty chocolate,chewing gum,canned fruit,,,,,,
root vegetables,bottled water,,,,,,,,,
meat,curd,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
yogurt,bathroom cleaner,,,,,,,,,
tropical fruit,whole milk,whole milk,,,,,,,,
citrus fruit,misc. beverages,misc. beverages,,,,,,,,
frankfurter,frankfurter,pip fruit,yogurt,,,,,,,
pastry,ice cream,,,,,,,,,
bottled water,pastry,,,,,,,,,
yogurt,sliced cheese,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
frankfurter,margarine,,,,,,,,,
bottled water,bottled beer,,,,,,,,,
pork,soda,yogurt,,,,,,,,
pork,oil,,,,,,,,,
rolls/buns,misc. beverages,,,,,,,,,
canned beer,pastry,,,,,,,,,
butter,seasonal products,fruit/vegetable juice,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
butter,newspapers,,,,,,,,,
root vegetables,frozen fish,,,,,,,,,
sausage,citrus fruit,,,,,,,,,
whole milk,beef,rolls/buns,curd,white bread,,,,,,
instant coffee,domestic eggs,,,,,,,,,
rolls/buns,curd,cat food,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
chocolate,tea,,,,,,,,,
UHT-milk,shopping bags,,,,,,,,,
tropical fruit,photo/film,,,,,,,,,
canned beer,sugar,,,,,,,,,
soda,napkins,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
citrus fruit,soda,herbs,oil,,,,,,,
beef,whole milk,newspapers,,,,,,,,
rolls/buns,soda,,,,,,,,,
other vegetables,beef,yogurt,,,,,,,,
sausage,red/blush wine,,,,,,,,,
soda,whole milk,,,,,,,,,
napkins,coffee,,,,,,,,,
rolls/buns,cat food,,,,,,,,,
waffles,hygiene articles,tea,,,,,,,,
coffee,bottled water,roll products ,,,,,,,,
root vegetables,dessert,,,,,,,,,
dessert,soda,,,,,,,,,
soda,long life bakery product,pastry,,,,,,,,
root vegetables,whipped/sour cream,,,,,,,,,
frankfurter,dishes,hygiene articles,,,,,,,,
newspapers,rolls/buns,,,,,,,,,
photo/film,pip fruit,butter,liquor (appetizer),bottled beer,sweet spreads,,,,,
whole milk,margarine,,,,,,,,,
sausage,dessert,,,,,,,,,
butter,onions,butter milk,,,,,,,,
pip fruit,UHT-milk,soda,,,,,,,,
pip fruit,frozen meals,white bread,brown bread,fruit/vegetable juice,pastry,,,,,
pork,soda,,,,,,,,,
chocolate,frozen fish,,,,,,,,,
tropical fruit,rolls/buns,fruit/vegetable juice,canned beer,,,,,,,
coffee,packaged fruit/vegetables,pickled vegetables,,,,,,,,
whole milk,curd,bottled beer,newspapers,,,,,,,
whipped/sour cream,candy,whole milk,,,,,,,,
ham,curd,,,,,,,,,
curd,citrus fruit,rolls/buns,other vegetables,dessert,,,,,,
margarine,frozen meals,,,,,,,,,
tropical fruit,frozen vegetables,,,,,,,,,
soda,pip fruit,,,,,,,,,
whole milk,soda,,,,,,,,,
beverages,waffles,specialty chocolate,,,,,,,,
domestic eggs,frozen vegetables,curd,,,,,,,,
sausage,root vegetables,canned beer,rolls/buns,,,,,,,
whole milk,tropical fruit,,,,,,,,,
other vegetables,tropical fruit,,,,,,,,,
pastry,yogurt,,,,,,,,,
tropical fruit,cream cheese ,,,,,,,,,
yogurt,onions,,,,,,,,,
rolls/buns,butter,,,,,,,,,
bottled water,long life bakery product,root vegetables,mustard,,,,,,,
red/blush wine,liquor (appetizer),sauces,coffee,,,,,,,
liquor,sugar,,,,,,,,,
fruit/vegetable juice,long life bakery product,specialty cheese,,,,,,,,
meat spreads,yogurt,,,,,,,,,
hamburger meat,condensed milk,,,,,,,,,
canned beer,canned beer,,,,,,,,,
other vegetables,pip fruit,fruit/vegetable juice,,,,,,,,
hard cheese,meat,beverages,curd,fruit/vegetable juice,,,,,,
oil,canned fish,,,,,,,,,
tropical fruit,meat,whole milk,candles,,,,,,,
whole milk,beef,,,,,,,,,
pastry,whole milk,,,,,,,,,
root vegetables,whipped/sour cream,,,,,,,,,
chicken,sausage,domestic eggs,pasta,,,,,,,
whole milk,bottled water,,,,,,,,,
canned beer,domestic eggs,white wine,waffles,,,,,,,
whole milk,sausage,pastry,spices,soda,,,,,,
whole milk,pickled vegetables,soda,,,,,,,,
hamburger meat,pastry,,,,,,,,,
beef,whole milk,cream cheese ,butter,,,,,,,
coffee,butter,,,,,,,,,
chicken,misc. beverages,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
canned beer,newspapers,shopping bags,,,,,,,,
sausage,yogurt,fruit/vegetable juice,,,,,,,,
organic sausage,other vegetables,hard cheese,bottled water,,,,,,,
bottled water,rolls/buns,domestic eggs,,,,,,,,
dessert,pot plants,,,,,,,,,
pork,curd,,,,,,,,,
whole milk,frozen vegetables,soda,UHT-milk,,,,,,,
white wine,waffles,,,,,,,,,
whole milk,napkins,,,,,,,,,
pip fruit,hard cheese,,,,,,,,,
sausage,UHT-milk,,,,,,,,,
pork,nuts/prunes,rolls/buns,,,,,,,,
turkey,root vegetables,,,,,,,,,
pip fruit,root vegetables,,,,,,,,,
oil,hard cheese,,,,,,,,,
beef,baking powder,,,,,,,,,
citrus fruit,instant coffee,,,,,,,,,
chicken,domestic eggs,,,,,,,,,
yogurt,salt,,,,,,,,,
other vegetables,brandy,,,,,,,,,
beef,curd,,,,,,,,,
canned vegetables,root vegetables,cake bar,,,,,,,,
long life bakery product,rolls/buns,,,,,,,,,
sausage,whole milk,,,,,,,,,
whole milk,pork,,,,,,,,,
chocolate,rolls/buns,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
pip fruit,curd cheese,,,,,,,,,
sausage,whole milk,bottled water,,,,,,,,
beef,cream cheese ,,,,,,,,,
curd,newspapers,,,,,,,,,
whole milk,grapes,,,,,,,,,
cream cheese ,other vegetables,,,,,,,,,
dessert,whole milk,,,,,,,,,
pastry,tropical fruit,citrus fruit,coffee,,,,,,,
beef,flower (seeds),,,,,,,,,
dessert,beverages,frozen meals,red/blush wine,,,,,,,
ham,yogurt,,,,,,,,,
soda,grapes,,,,,,,,,
hamburger meat,cat food,,,,,,,,,
whole milk,pasta,whipped/sour cream,,,,,,,,
dog food,bottled beer,,,,,,,,,
root vegetables,frankfurter,other vegetables,mayonnaise,,,,,,,
bottled beer,citrus fruit,frozen potato products,fruit/vegetable juice,sugar,sauces,,,,,
finished products,domestic eggs,,,,,,,,,
red/blush wine,whipped/sour cream,specialty cheese,abrasive cleaner,,,,,,,
bottled beer,herbs,curd,,,,,,,,
condensed milk,other vegetables,,,,,,,,,
cream cheese ,meat,rolls/buns,yogurt,frozen meals,whipped/sour cream,,,,,
sausage,hamburger meat,white bread,,,,,,,,
ham,tropical fruit,frozen meals,sparkling wine,,,,,,,
other vegetables,brown bread,,,,,,,,,
bottled beer,yogurt,butter milk,,,,,,,,
soda,liquor (appetizer),,,,,,,,,
beverages,liquor,shopping bags,,,,,,,,
meat spreads,sliced cheese,,,,,,,,,
UHT-milk,butter milk,frozen vegetables,other vegetables,candy,fruit/vegetable juice,,,,,
sugar,canned vegetables,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
beverages,sausage,white bread,bottled water,,,,,,,
tropical fruit,whole milk,,,,,,,,,
root vegetables,brown bread,,,,,,,,,
soap,yogurt,,,,,,,,,
citrus fruit,napkins,,,,,,,,,
sausage,white wine,candy,,,,,,,,
other vegetables,whole milk,,,,,,,,,
ham,white bread,long life bakery product,,,,,,,,
sausage,chicken,pip fruit,other vegetables,,,,,,,
yogurt,pastry,,,,,,,,,
other vegetables,whole milk,,,,,,,,,
whole milk,meat,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
soda,root vegetables,whole milk,pastry,,,,,,,
pork,yogurt,,,,,,,,,
cat food,bottled beer,beef,brown bread,margarine,rolls/buns,,,,,
margarine,margarine,white bread,fruit/vegetable juice,,,,,,,
sugar,red/blush wine,,,,,,,,,
whole milk,yogurt,chocolate,,,,,,,,
soda,liver loaf,,,,,,,,,
other vegetables,condensed milk,other vegetables,bottled water,pastry,misc. beverages,,,,,
beef,berries,,,,,,,,,
meat,pip fruit,beverages,soda,,,,,,,
whole milk,yogurt,softener,,,,,,,,
dessert,sausage,whole milk,oil,,,,,,,
tidbits,other vegetables,,,,,,,,,
hamburger meat,soda,,,,,,,,,
whole milk,soda,,,,,,,,,
chocolate,root vegetables,,,,,,,,,
hamburger meat,popcorn,,,,,,,,,
frozen meals,frozen meals,,,,,,,,,
other vegetables,other vegetables,canned fish,chewing gum,,,,,,,
citrus fruit,tropical fruit,soda,coffee,domestic eggs,,,,,,
rolls/buns,other vegetables,,,,,,,,,
male cosmetics,roll products ,pastry,,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
waffles,brown bread,,,,,,,,,
whole milk,other vegetables,,,,,,,,,
specialty chocolate,soda,,,,,,,,,
dessert,butter,,,,,,,,,
soda,whole milk,brandy,,,,,,,,
beef,hamburger meat,,,,,,,,,
onions,brown bread,domestic eggs,,,,,,,,
long life bakery product,butter,,,,,,,,,
other vegetables,domestic eggs,semi-finished bread,,,,,,,,
Instant food products,pip fruit,,,,,,,,,
pork,beef,yogurt,,,,,,,,
whole milk,cat food,,,,,,,,,
frankfurter,curd,white bread,rolls/buns,coffee,,,,,,
citrus fruit,pastry,newspapers,chewing gum,,,,,,,
semi-finished bread,shopping bags,,,,,,,,,
soda,other vegetables,,,,,,,,,
pastry,salty snack,,,,,,,,,
hamburger meat,coffee,,,,,,,,,
soda,shopping bags,,,,,,,,,
tropical fruit,semi-finished bread,,,,,,,,,
pickled vegetables,whole milk,,,,,,,,,
soda,flower (seeds),,,,,,,,,
cat food,roll products ,,,,,,,,,
frankfurter,whole milk,,,,,,,,,
pork,tropical fruit,pip fruit,brown bread,,,,,,,
whipped/sour cream,brown bread,,,,,,,,,
root vegetables,brown bread,,,,,,,,,
whole milk,hamburger meat,newspapers,,,,,,,,
other vegetables,pastry,,,,,,,,,
whipped/sour cream,shopping bags,,,,,,,,,
chicken,whole milk,,,,,,,,,
soft cheese,cream cheese ,,,,,,,,,
root vegetables,citrus fruit,,,,,,,,,
frozen vegetables,bottled beer,,,,,,,,,
chicken,yogurt,newspapers,shopping bags,rolls/buns,domestic eggs,,,,,
frozen fish,ketchup,,,,,,,,,
frankfurter,pip fruit,brown bread,,,,,,,,
citrus fruit,beef,,,,,,,,,
beef,waffles,citrus fruit,waffles,,,,,,,
pastry,chocolate,flour,,,,,,,,
root vegetables,salt,,,,,,,,,
citrus fruit,brown bread,snack products,napkins,,,,,,,
pip fruit,soda,,,,,,,,,
other vegetables,white bread,detergent,,,,,,,,
sausage,yogurt,,,,,,,,,
rolls/buns,root vegetables,,,,,,,,,
UHT-milk,tropical fruit,,,,,,,,,
citrus fruit,whipped/sour cream,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
shopping bags,cake bar,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
soda,salty snack,candy,,,,,,,,
long life bakery product,butter milk,Instant food products,,,,,,,,
tropical fruit,condensed milk,,,,,,,,,
butter milk,whipped/sour cream,,,,,,,,,
sausage,specialty cheese,,,,,,,,,
other vegetables,dish cleaner,,,,,,,,,
frankfurter,yogurt,,,,,,,,,
whole milk,white bread,,,,,,,,,
fruit/vegetable juice,white wine,,,,,,,,,
pip fruit,white bread,rolls/buns,,,,,,,,
sausage,rum,,,,,,,,,
root vegetables,pork,soda,coffee,pastry,,,,,,
citrus fruit,pork,canned fish,oil,,,,,,,
cream cheese ,toilet cleaner,,,,,,,,,
meat,chocolate,brown bread,,,,,,,,
margarine,sugar,,,,,,,,,
frankfurter,soda,,,,,,,,,
frankfurter,coffee,,,,,,,,,
soda,shopping bags,,,,,,,,,
other vegetables,other vegetables,soda,dish cleaner,,,,,,,
root vegetables,yogurt,,,,,,,,,
newspapers,tropical fruit,,,,,,,,,
oil,bottled beer,yogurt,,,,,,,,
sausage,candy,,,,,,,,,
onions,waffles,bottled beer,,,,,,,,
shopping bags,UHT-milk,,,,,,,,,
other vegetables,brown bread,,,,,,,,,
napkins,yogurt,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
chicken,whole milk,snack products,,,,,,,,
butter milk,napkins,,,,,,,,,
sausage,sugar,semi-finished bread,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
whole milk,yogurt,,,,,,,,,
rolls/buns,domestic eggs,ice cream,pot plants,,,,,,,
citrus fruit,canned fruit,pip fruit,dessert,,,,,,,
tropical fruit,long life bakery product,,,,,,,,,
soda,cream cheese ,,,,,,,,,
chocolate marshmallow,bottled water,,,,,,,,,
rice,chewing gum,rolls/buns,,,,,,,,
root vegetables,pastry,,,,,,,,,
photo/film,bottled water,,,,,,,,,
white bread,pip fruit,,,,,,,,,
hygiene articles,margarine,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
frankfurter,canned beer,pastry,yogurt,,,,,,,
rolls/buns,fruit/vegetable juice,,,,,,,,,
other vegetables,pickled vegetables,,,,,,,,,
soda,pastry,,,,,,,,,
whole milk,coffee,salty snack,root vegetables,yogurt,oil,soft cheese,,,,
soda,oil,,,,,,,,,
citrus fruit,pastry,,,,,,,,,
canned beer,whipped/sour cream,pastry,,,,,,,,
sausage,dessert,,,,,,,,,
butter,root vegetables,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
shopping bags,root vegetables,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
Instant food products,soda,,,,,,,,,
tropical fruit,cat food,soda,,,,,,,,
tropical fruit,pastry,,,,,,,,,
frozen potato products,root vegetables,,,,,,,,,
salty snack,kitchen towels,,,,,,,,,
pork,napkins,,,,,,,,,
citrus fruit,dessert,,,,,,,,,
pip fruit,pasta,,,,,,,,,
butter,butter milk,canned beer,UHT-milk,brown bread,baking powder,long life bakery product,,,,
bottled water,curd,yogurt,,,,,,,,
fruit/vegetable juice,fruit/vegetable juice,,,,,,,,,
bottled beer,hard cheese,,,,,,,,,
newspapers,whole milk,,,,,,,,,
other vegetables,waffles,,,,,,,,,
root vegetables,white bread,sliced cheese,,,,,,,,
yogurt,tidbits,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
bottled water,napkins,fruit/vegetable juice,hard cheese,,,,,,,
pip fruit,white bread,margarine,baking powder,,,,,,,
tropical fruit,soda,frozen meals,,,,,,,,
nuts/prunes,onions,,,,,,,,,
citrus fruit,yogurt,,,,,,,,,
ham,canned vegetables,,,,,,,,,
pip fruit,bottled beer,,,,,,,,,
onions,soft cheese,,,,,,,,,
whole milk,dessert,dish cleaner,,,,,,,,
beef,whipped/sour cream,,,,,,,,,
beef,soft cheese,,,,,,,,,
tropical fruit,white bread,,,,,,,,,
tropical fruit,frozen fish,soda,newspapers,,,,,,,
cream cheese ,whole milk,candy,,,,,,,,
canned fish,yogurt,napkins,,,,,,,,
tropical fruit,bottled beer,,,,,,,,,
UHT-milk,butter milk,napkins,,,,,,,,
pastry,chewing gum,,,,,,,,,
beef,whole milk,frozen vegetables,,,,,,,,
ham,soft cheese,fruit/vegetable juice,sugar,,,,,,,
pork,soda,,,,,,,,,
beverages,root vegetables,candles,,,,,,,,
yogurt,bottled water,long life bakery product,,,,,,,,
tropical fruit,shopping bags,hard cheese,,,,,,,,
bottled water,root vegetables,bottled water,,,,,,,,
whole milk,frozen vegetables,,,,,,,,,
cream,yogurt,,,,,,,,,
frozen fish,coffee,,,,,,,,,
bottled beer,whole milk,,,,,,,,,
sausage,pip fruit,,,,,,,,,
pastry,napkins,,,,,,,,,
citrus fruit,rolls/buns,canned fish,,,,,,,,
frankfurter,whole milk,canned fish,yogurt,,,,,,,
cream cheese ,popcorn,frozen fish,,,,,,,,
soda,bottled water,,,,,,,,,
rolls/buns,semi-finished bread,dessert,yogurt,,,,,,,
candy,rolls/buns,UHT-milk,,,,,,,,
ham,yogurt,,,,,,,,,
other vegetables,skin care,domestic eggs,,,,,,,,
dessert,dog food,newspapers,,,,,,,,
berries,pip fruit,pastry,,,,,,,,
pastry,UHT-milk,,,,,,,,,
canned beer,tropical fruit,newspapers,,,,,,,,
ham,chocolate,,,,,,,,,
hamburger meat,yogurt,,,,,,,,,
chicken,other vegetables,,,,,,,,,
other vegetables,yogurt,Instant food products,,,,,,,,
citrus fruit,pip fruit,,,,,,,,,
pork,frozen meals,,,,,,,,,
soda,rolls/buns,,,,,,,,,
dessert,other vegetables,long life bakery product,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
beef,citrus fruit,specialty bar,white bread,soda,vinegar,long life bakery product,domestic eggs,,,
other vegetables,rolls/buns,,,,,,,,,
beverages,newspapers,,,,,,,,,
other vegetables,specialty bar,,,,,,,,,
canned fish,brown bread,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
beef,beef,,,,,,,,,
domestic eggs,root vegetables,semi-finished bread,curd,,,,,,,
other vegetables,tropical fruit,sweet spreads,,,,,,,,
sausage,chocolate,,,,,,,,,
rolls/buns,butter milk,,,,,,,,,
root vegetables,coffee,,,,,,,,,
hygiene articles,hygiene articles,pastry,,,,,,,,
sliced cheese,root vegetables,,,,,,,,,
yogurt,cookware,,,,,,,,,
yogurt,sugar,,,,,,,,,
citrus fruit,butter,,,,,,,,,
sausage,other vegetables,citrus fruit,curd,red/blush wine,dessert,specialty chocolate,white bread,pastry,,
sausage,rolls/buns,,,,,,,,,
sausage,margarine,margarine,,,,,,,,
curd,sliced cheese,frozen fish,,,,,,,,
other vegetables,salty snack,pickled vegetables,,,,,,,,
bottled water,coffee,,,,,,,,,
hamburger meat,candy,,,,,,,,,
rolls/buns,whole milk,soda,,,,,,,,
beef,potato products,,,,,,,,,
margarine,processed cheese,,,,,,,,,
pip fruit,yogurt,,,,,,,,,
white wine,tropical fruit,,,,,,,,,
soda,chocolate,,,,,,,,,
pip fruit,white wine,chocolate,,,,,,,,
beef,white bread,frozen potato products,,,,,,,,
whipped/sour cream,baking powder,cat food,,,,,,,,
frankfurter,salty snack,dental care,,,,,,,,
other vegetables,shopping bags,,,,,,,,,
whole milk,brown bread,,,,,,,,,
yogurt,yogurt,,,,,,,,,
bottled water,root vegetables,,,,,,,,,
cream cheese ,domestic eggs,,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
bottled water,shopping bags,brown bread,,,,,,,,
other vegetables,napkins,,,,,,,,,
tropical fruit,bottled beer,other vegetables,oil,,,,,,,
root vegetables,specialty cheese,,,,,,,,,
ice cream,yogurt,,,,,,,,,
whipped/sour cream,soft cheese,,,,,,,,,
citrus fruit,salty snack,oil,,,,,,,,
whipped/sour cream,beverages,,,,,,,,,
other vegetables,frozen vegetables,,,,,,,,,
onions,domestic eggs,shopping bags,,,,,,,,
hamburger meat,rolls/buns,beverages,dessert,whole milk,domestic eggs,yogurt,soda,,,
detergent,tropical fruit,soda,margarine,,,,,,,
red/blush wine,berries,,,,,,,,,
whole milk,processed cheese,pastry,,,,,,,,
soda,pork,,,,,,,,,
other vegetables,citrus fruit,,,,,,,,,
curd,margarine,,,,,,,,,
cat food,rolls/buns,,,,,,,,,
pastry,liquor (appetizer),sliced cheese,,,,,,,,
frozen vegetables,whole milk,,,,,,,,,
rolls/buns,bottled water,,,,,,,,,
curd,butter,,,,,,,,,
hard cheese,tropical fruit,,,,,,,,,
yogurt,canned vegetables,seasonal products,,,,,,,,
whole milk,sliced cheese,,,,,,,,,
semi-finished bread,nuts/prunes,butter,ice cream,,,,,,,
other vegetables,semi-finished bread,,,,,,,,,
sausage,chewing gum,,,,,,,,,
bottled water,coffee,sugar,bottled water,,,,,,,
tropical fruit,detergent,,,,,,,,,
white wine,spread cheese,,,,,,,,,
rolls/buns,nuts/prunes,pastry,fruit/vegetable juice,,,,,,,
UHT-milk,dessert,,,,,,,,,
citrus fruit,rolls/buns,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
hard cheese,rolls/buns,,,,,,,,,
herbs,grapes,,,,,,,,,
sausage,hard cheese,,,,,,,,,
curd,other vegetables,,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
white bread,beverages,,,,,,,,,
ham,UHT-milk,,,,,,,,,
chocolate,yogurt,other vegetables,,,,,,,,
soda,brown bread,,,,,,,,,
pastry,canned beer,mustard,yogurt,,,,,,,
canned beer,other vegetables,,,,,,,,,
frankfurter,specialty chocolate,pip fruit,,,,,,,,
citrus fruit,sauces,,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
domestic eggs,frozen vegetables,,,,,,,,,
curd,shopping bags,,,,,,,,,
whole milk,brown bread,root vegetables,roll products ,,,,,,,
frozen meals,canned vegetables,,,,,,,,,
whole milk,butter,shopping bags,,,,,,,,
pastry,pickled vegetables,margarine,,,,,,,,
margarine,bottled water,,,,,,,,,
soda,domestic eggs,,,,,,,,,
whole milk,misc. beverages,,,,,,,,,
bottled beer,yogurt,soda,,,,,,,,
whole milk,dishes,,,,,,,,,
chicken,pork,newspapers,,,,,,,,
pasta,whole milk,waffles,,,,,,,,
